cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
JM,388,JAM,JAM,True,Americas,False,10991.0,2961161,JAM,officially-assigned,True,Caribbean
KM,174,COM,COM,True,Africa,False,1862.0,869595,COM,officially-assigned,True,Eastern Africa
ZW,716,ZWE,ZIM,True,Africa,True,390757.0,14862927,ZIM,officially-assigned,True,Southern Africa
SX,534,SXM,,False,Americas,False,34.0,40812,,officially-assigned,False,Caribbean
LA,418,LAO,LAO,True,Asia,True,236800.0,7275556,LAO,officially-assigned,True,South-Eastern Asia
LV,428,LVA,LAT,True,Europe,False,64559.0,1901548,LVA,officially-assigned,True,Northern Europe
TJ,762,TJK,TJK,True,Asia,True,143100.0,9537642,TJK,officially-assigned,True,Central Asia
GB,826,GBR,GBR,True,Europe,False,242900.0,67215293,,officially-assigned,True,Northern Europe
NI,558,NIC,NCA,True,Americas,False,130373.0,6624554,NCA,officially-assigned,True,Central America
SD,729,SDN,SUD,True,Africa,False,1886068.0,43849269,SDN,officially-assigned,True,Northern Africa
GR,300,GRC,GRE,True,Europe,False,131990.0,10715549,GRE,officially-assigned,True,Southern Europe
LT,440,LTU,LTU,True,Europe,False,65300.0,2794700,LTU,officially-assigned,True,Northern Europe
RW,646,RWA,RWA,True,Africa,True,26338.0,12952209,RWA,officially-assigned,True,Eastern Africa
SN,686,SEN,SEN,True,Africa,False,196722.0,16743930,SEN,officially-assigned,True,Western Africa
MC,492,MCO,MON,True,Europe,False,2.02,39244,,officially-assigned,True,Western Europe
LS,426,LSO,LES,True,Africa,True,30355.0,2142252,LES,officially-assigned,True,Southern Africa
TN,788,TUN,TUN,True,Africa,False,163610.0,11818618,TUN,officially-assigned,True,Northern Africa
VU,548,VUT,VAN,True,Oceania,False,12189.0,307150,VAN,officially-assigned,True,Melanesia
EC,218,ECU,ECU,True,Americas,False,276841.0,17643060,ECU,officially-assigned,True,South America
KW,414,KWT,KUW,True,Asia,False,17818.0,4270563,KUW,officially-assigned,True,Western Asia
PH,608,PHL,PHI,True,Asia,False,342353.0,109581085,PHI,officially-assigned,True,South-Eastern Asia
CL,152,CHL,CHI,True,Americas,False,756102.0,19116209,CHI,officially-assigned,True,South America
BS,044,BHS,BAH,True,Americas,False,13943.0,393248,BAH,officially-assigned,True,Caribbean
TZ,834,TZA,TAN,True,Africa,False,945087.0,59734213,TAN,officially-assigned,True,Eastern Africa
CR,188,CRI,CRC,True,Americas,False,51100.0,5094114,CRC,officially-assigned,True,Central America
MA,504,MAR,MAR,True,Africa,False,446550.0,36910558,MAR,officially-assigned,True,Northern Africa
ME,499,MNE,MNE,True,Europe,False,13812.0,621718,MNE,officially-assigned,True,Southeast Europe
FM,583,FSM,FSM,True,Oceania,False,702.0,115021,,officially-assigned,True,Micronesia
PT,620,PRT,POR,True,Europe,False,92090.0,10305564,POR,officially-assigned,True,Southern Europe
AE,784,ARE,UAE,True,Asia,False,83600.0,9890400,UAE,officially-assigned,True,Western Asia
LY,434,LBY,LBA,True,Africa,False,1759540.0,6871287,LBY,officially-assigned,True,Northern Africa
LU,442,LUX,LUX,True,Europe,True,2586.0,632275,LUX,officially-assigned,True,Western Europe
JE,832,JEY,,False,Europe,False,116.0,100800,,officially-assigned,False,Northern Europe
