id_country,id_border_country
ZWE,BWA
ZWE,MOZ
ZWE,ZAF
ZWE,ZMB
SXM,MAF
LAO,MMR
LAO,KHM
LAO,CHN
LAO,THA
LAO,VNM
LVA,BLR
LVA,EST
LVA,LTU
LVA,RUS
TJK,AFG
TJK,CHN
TJK,KGZ
TJK,UZB
GBR,IRL
NIC,CRI
NIC,HND
SDN,CAF
SDN,TCD
SDN,EGY
SDN,ERI
SDN,ETH
SDN,LBY
SDN,SSD
GRC,ALB
GRC,BGR
GRC,TUR
GRC,MKD
LTU,BLR
LTU,LVA
LTU,POL
LTU,RUS
RWA,BDI
RWA,COD
RWA,TZA
RWA,UGA
SEN,GMB
SEN,GIN
SEN,GNB
SEN,MLI
SEN,MRT
MCO,FRA
LSO,ZAF
TUN,DZA
TUN,LBY
ECU,COL
ECU,PER
KWT,IRQ
KWT,SAU
CHL,ARG
CHL,BOL
CHL,PER
TZA,BDI
TZA,COD
TZA,KEN
TZA,MWI
TZA,MOZ
TZA,RWA
TZA,UGA
TZA,ZMB
CRI,NIC
CRI,PAN
MAR,DZA
MAR,ESH
MAR,ESP
MNE,ALB
MNE,BIH
MNE,HRV
MNE,UNK
MNE,SRB
PRT,ESP
ARE,OMN
ARE,SAU
LBY,DZA
LBY,TCD
LBY,EGY
LBY,NER
LBY,SDN
LBY,TUN
LUX,BEL
LUX,FRA
LUX,DEU
DZA,TUN
DZA,LBY
DZA,NER
DZA,ESH
DZA,MRT
DZA,MLI
DZA,MAR
BRA,ARG
BRA,BOL
BRA,COL
BRA,GUF
BRA,GUY
BRA,PRY
BRA,PER
BRA,SUR
BRA,URY
BRA,VEN
MLI,DZA
MLI,BFA
MLI,GIN
MLI,CIV
MLI,MRT
MLI,NER
MLI,SEN
PAK,AFG
PAK,CHN
PAK,IND
PAK,IRN
ARM,AZE
ARM,GEO
ARM,IRN
ARM,TUR
BGD,MMR
BGD,IND
TKM,AFG
TKM,IRN
TKM,KAZ
TKM,UZB
