cca3,capital,lat,lng
JAM,Kingston,17.99702,-76.79358
COM,Moroni,-11.7,43.23
ZWE,Harare,-17.82,31.03
SXM,Philipsburg,18.02,-63.03
LAO,Vientiane,17.97,102.6
LVA,Riga,56.95,24.1
TJK,Dushanbe,38.55,68.77
GBR,London,51.5,-0.08
NIC,Managua,12.13,-86.25
SDN,Khartoum,15.6,32.53
GRC,Athens,37.98,23.73
LTU,Vilnius,54.68,25.32
RWA,Kigali,-1.95,30.05
SEN,Dakar,14.73,-17.63
MCO,Monaco,43.73,7.42
LSO,Maseru,-29.32,27.48
TUN,Tunis,36.8,10.18
VUT,Port Vila,-17.73,168.32
ECU,Quito,-0.22,-78.5
KWT,Kuwait City,29.37,47.97
PHL,Manila,14.6,120.97
CHL,Santiago,-33.45,-70.67
BHS,Nassau,25.08,-77.35
TZA,Dodoma,-6.16,35.75
CRI,San José,9.93,-84.09
MAR,Rabat,34.02,-6.82
MNE,Podgorica,42.43,19.27
FSM,Palikir,6.92,158.15
PRT,Lisbon,38.72,-9.13
ARE,Abu Dhabi,24.47,54.37
LBY,Tripoli,32.88,13.17
LUX,Luxembourg,49.6,6.12
JEY,Saint Helier,49.18,-2.1
SLB,Honiara,-9.43,159.95
DZA,Algiers,36.75,3.05
ATG,Saint John's,17.12,-61.85
SHN,Jamestown,-15.93,-5.72
BRA,Brasília,-15.79,-47.88
SGS,King Edward Point,-54.28,-36.5
MLI,Bamako,12.65,-8.0
PAK,Islamabad,33.68,73.05
TTO,Port of Spain,10.65,-61.52
ARM,Yerevan,40.17,44.5
BGD,Dhaka,23.72,90.4
TCA,Cockburn Town,21.46,-71.14
TKM,Ashgabat,37.95,58.38
FRO,Tórshavn,62.01,-6.77
PLW,Ngerulmud,7.5,134.62
CUB,Havana,23.12,-82.35
TCD,N'Djamena,12.1,15.03
BIH,Sarajevo,43.87,18.42
BWA,Gaborone,-24.63,25.9
EST,Tallinn,59.43,24.72
IOT,Diego Garcia,-7.3,72.4
ATF,Port-aux-Français,48.81,-1.4
GRL,Nuuk,64.18,-51.75
CXR,Flying Fish Cove,-10.42,105.68
PCN,Adamstown,-25.07,-130.08
ESH,El Aaiún,-13.28,27.14
MSR,Plymouth,16.7,-62.22
BHR,Manama,26.23,50.57
DOM,Santo Domingo,18.47,-69.9
USA,"Washington, D.C.",38.89,-77.05
COK,Avarua,-21.2,-159.77
COL,Bogotá,4.71,-74.07
GIN,Conakry,9.5,-13.7
IRL,Dublin,53.32,-6.23
MDV,Malé,4.17,73.51
PAN,Panama City,8.97,-79.53
MOZ,Maputo,-25.95,32.58
OMN,Muscat,23.62,58.58
CZE,Prague,50.08,14.47
VCT,Kingstown,13.13,-61.22
HTI,Port-au-Prince,18.53,-72.33
NGA,Abuja,9.08,7.53
VGB,Road Town,18.42,-64.62
NAM,Windhoek,-22.57,17.08
DMA,Roseau,15.3,-61.4
CAN,Ottawa,45.42,-75.7
GGY,St. Peter Port,49.45,-2.54
NER,Niamey,13.52,2.12
IDN,Jakarta,-6.17,106.82
YEM,Sana'a,15.37,44.19
PSE,Ramallah,31.9,35.2
PSE,Jerusalem,31.9,35.2
GAB,Libreville,0.38,9.45
ERI,Asmara,15.33,38.93
CYP,Nicosia,35.17,33.37
HKG,City of Victoria,22.267,114.188
SVK,Bratislava,48.15,17.12
SVN,Ljubljana,46.05,14.52
NIU,Alofi,-19.02,-169.92
KIR,South Tarawa,1.33,172.98
DEU,Berlin,52.52,13.4
UNK,Pristina,42.67,21.17
CIV,Yamoussoukro,6.82,-5.27
LKA,Sri Jayawardenepura Kotte,6.89,79.9
MAF,Marigot,18.07,-63.08
BEL,Brussels,50.83,4.33
ISR,Jerusalem,31.77,35.23
ALA,Mariehamn,60.12,19.9
MNP,Saipan,15.2,145.75
DNK,Copenhagen,55.67,12.58
BMU,Hamilton,32.28,-64.78
GIB,Gibraltar,36.13,-5.35
SYR,Damascus,33.5,36.3
TLS,Dili,-8.58,125.6
SMR,City of San Marino,43.94,12.45
GMB,Banjul,13.45,-16.57
PER,Lima,-12.05,-77.05
GNB,Bissau,11.85,-15.58
SLE,Freetown,8.48,-13.23
TUR,Ankara,39.93,32.87
BOL,Sucre,-19.02,-65.26
NOR,Oslo,59.92,10.75
COG,Brazzaville,-4.25,15.28
SWZ,Mbabane,-26.32,31.13
PRY,Asunción,-25.28,-57.57
UKR,Kyiv,50.43,30.52
MYS,Kuala Lumpur,3.17,101.7
TON,Nuku'alofa,-21.13,-175.2
BEN,Porto-Novo,6.48,2.62
SWE,Stockholm,59.33,18.05
TUV,Funafuti,-8.52,179.22
MNG,Ulan Bator,47.92,106.91
ZAF,Pretoria,-25.7,28.22
ZAF,Bloemfontein,-25.7,28.22
ZAF,Cape Town,-25.7,28.22
CUW,Willemstad,12.1,-68.92
AUS,Canberra,-35.27,149.13
KNA,Basseterre,17.3,-62.72
GHA,Accra,5.55,-0.22
IRQ,Baghdad,33.33,44.4
VNM,Hanoi,21.03,105.85
GUY,Georgetown,6.8,-58.15
AZE,Baku,40.38,49.87
CMR,Yaoundé,3.85,11.5
EGY,Cairo,30.05,31.25
ISL,Reykjavik,64.15,-21.95
VEN,Caracas,10.48,-66.87
BRB,Bridgetown,13.1,-59.62
FLK,Stanley,-51.7,-57.85
MWI,Lilongwe,-13.97,33.78
KGZ,Bishkek,42.87,74.6
TWN,Taipei,25.03,121.52
BGR,Sofia,42.68,23.32
PRK,Pyongyang,39.02,125.75
AND,Andorra la Vella,42.5,1.52
AGO,Luanda,-8.83,13.22
BLM,Gustavia,17.88,-62.85
RUS,Moscow,55.75,37.6
BFA,Ouagadougou,12.37,-1.52
VAT,Vatican City,41.9,12.45
IMN,Douglas,54.15,-4.48
AFG,Kabul,34.52,69.18
HRV,Zagreb,45.8,16.0
BTN,Thimphu,27.47,89.63
BLR,Minsk,53.9,27.57
