cca3,language,gender,demonym
JAM,eng,f,Jamaican
JAM,eng,m,Jamaican
JAM,fra,f,Jamaïcaine
JAM,fra,m,Jamaïcain
COM,eng,f,Comoran
COM,eng,m,Comoran
COM,fra,f,Comorienne
COM,fra,m,Comorien
ZWE,eng,f,Zimbabwean
ZWE,eng,m,Zimbabwean
ZWE,fra,f,Zimbabwéenne
ZWE,fra,m,Zimbabwéen
SXM,eng,f,St. Maartener
SXM,eng,m,St. Maartener
SXM,fra,f,Saint-Martinoise
SXM,fra,m,Saint-Martinois
LAO,eng,f,Laotian
LAO,eng,m,Laotian
LAO,fra,f,Laotienne
LAO,fra,m,Laotien
LVA,eng,f,Latvian
LVA,eng,m,Latvian
LVA,fra,f,Lettone
LVA,fra,m,Letton
TJK,eng,f,Tadzhik
TJK,eng,m,Tadzhik
TJK,fra,f,Tadjike
TJK,fra,m,Tadjike
GBR,eng,f,British
GBR,eng,m,British
GBR,fra,f,Britannique
GBR,fra,m,Britannique
NIC,eng,f,Nicaraguan
NIC,eng,m,Nicaraguan
NIC,fra,f,Nicaraguayenne
NIC,fra,m,Nicaraguayen
SDN,eng,f,Sudanese
SDN,eng,m,Sudanese
SDN,fra,f,Soudanaise
SDN,fra,m,Soudanais
GRC,eng,f,Greek
GRC,eng,m,Greek
GRC,fra,f,Grecque
GRC,fra,m,Grec
LTU,eng,f,Lithuanian
LTU,eng,m,Lithuanian
LTU,fra,f,Lituanienne
LTU,fra,m,Lituanien
RWA,eng,f,Rwandan
RWA,eng,m,Rwandan
RWA,fra,f,Rwandaise
RWA,fra,m,Rwandais
SEN,eng,f,Senegalese
SEN,eng,m,Senegalese
SEN,fra,f,Sénégalaise
SEN,fra,m,Sénégalais
MCO,eng,f,Monegasque
MCO,eng,m,Monegasque
MCO,fra,f,Monégasque
MCO,fra,m,Monégasque
LSO,eng,f,Mosotho
LSO,eng,m,Mosotho
LSO,fra,f,Lésothienne
LSO,fra,m,Lésothien
TUN,eng,f,Tunisian
TUN,eng,m,Tunisian
TUN,fra,f,Tunisienne
TUN,fra,m,Tunisien
