id_country,root,suffix,full_code
JAM,+1,876,+1876
JAM,+1,658,+1658
COM,+2,69,+269
ZWE,+2,63,+263
SXM,+1,721,+1721
LAO,+8,56,+856
LVA,+3,71,+371
TJK,+9,92,+992
GBR,+4,4,+44
NIC,+5,05,+505
SDN,+2,49,+249
GRC,+3,0,+30
LTU,+3,70,+370
RWA,+2,50,+250
SEN,+2,21,+221
MCO,+3,77,+377
LSO,+2,66,+266
TUN,+2,16,+216
VUT,+6,78,+678
ECU,+5,93,+593
KWT,+9,65,+965
PHL,+6,3,+63
CHL,+5,6,+56
BHS,+1,242,+1242
TZA,+2,55,+255
CRI,+5,06,+506
MAR,+2,12,+212
MNE,+3,82,+382
FSM,+6,91,+691
PRT,+3,51,+351
ARE,+9,71,+971
LBY,+2,18,+218
LUX,+3,52,+352
JEY,+4,4,+44
SLB,+6,77,+677
DZA,+2,13,+213
ATG,+1,268,+1268
SHN,+2,90,+290
SHN,+2,47,+247
BRA,+5,5,+55
SGS,+5,00,+500
MLI,+2,23,+223
PAK,+9,2,+92
TTO,+1,868,+1868
ARM,+3,74,+374
BGD,+8,80,+880
TCA,+1,649,+1649
TKM,+9,93,+993
FRO,+2,98,+298
PLW,+6,80,+680
CUB,+5,3,+53
TCD,+2,35,+235
BIH,+3,87,+387
BWA,+2,67,+267
EST,+3,72,+372
IOT,+2,46,+246
ATF,+2,62,+262
GRL,+2,99,+299
CXR,+6,1,+61
PCN,+6,4,+64
ESH,+2,125288,+2125288
ESH,+2,125289,+2125289
MSR,+1,664,+1664
BHR,+9,73,+973
DOM,+1,809,+1809
DOM,+1,829,+1829
DOM,+1,849,+1849
USA,+1,201,+1201
USA,+1,202,+1202
USA,+1,203,+1203
USA,+1,205,+1205
USA,+1,206,+1206
USA,+1,207,+1207
USA,+1,208,+1208
USA,+1,209,+1209
USA,+1,210,+1210
USA,+1,212,+1212
USA,+1,213,+1213
USA,+1,214,+1214
USA,+1,215,+1215
USA,+1,216,+1216
USA,+1,217,+1217
USA,+1,218,+1218
USA,+1,219,+1219
USA,+1,220,+1220
USA,+1,224,+1224
USA,+1,225,+1225
USA,+1,227,+1227
USA,+1,228,+1228
USA,+1,229,+1229
USA,+1,231,+1231
USA,+1,234,+1234
USA,+1,239,+1239
USA,+1,240,+1240
USA,+1,248,+1248
USA,+1,251,+1251
USA,+1,252,+1252
USA,+1,253,+1253
USA,+1,254,+1254
USA,+1,256,+1256
USA,+1,260,+1260
USA,+1,262,+1262
USA,+1,267,+1267
USA,+1,269,+1269
USA,+1,270,+1270
