id_country,id_language,language_name
JAM,eng,English
JAM,jam,Jamaican Patois
COM,ara,Arabic
COM,fra,French
COM,zdj,Comorian
ZWE,bwg,Chibarwe
ZWE,eng,English
ZWE,kck,Kalanga
ZWE,khi,Khoisan
ZWE,ndc,Ndau
ZWE,nde,Northern Ndebele
ZWE,nya,Chewa
ZWE,sna,Shona
ZWE,sot,Sotho
ZWE,toi,Tonga
ZWE,tsn,Tswana
ZWE,tso,Tsonga
ZWE,ven,Venda
ZWE,xho,Xhosa
ZWE,zib,Zimbabwean Sign Language
SXM,eng,English
SXM,fra,French
SXM,nld,Dutch
LAO,lao,Lao
LVA,lav,Latvian
TJK,rus,Russian
TJK,tgk,Tajik
GBR,eng,English
NIC,spa,Spanish
SDN,ara,Arabic
SDN,eng,English
GRC,ell,Greek
LTU,lit,Lithuanian
RWA,eng,English
RWA,fra,French
RWA,kin,Kinyarwanda
SEN,fra,French
MCO,fra,French
LSO,eng,English
LSO,sot,Sotho
TUN,ara,Arabic
VUT,bis,Bislama
VUT,eng,English
VUT,fra,French
ECU,spa,Spanish
KWT,ara,Arabic
PHL,eng,English
PHL,fil,Filipino
CHL,spa,Spanish
BHS,eng,English
TZA,eng,English
TZA,swa,Swahili
CRI,spa,Spanish
MAR,ara,Arabic
MAR,ber,Berber
MNE,cnr,Montenegrin
FSM,eng,English
PRT,por,Portuguese
ARE,ara,Arabic
LBY,ara,Arabic
LUX,deu,German
LUX,fra,French
LUX,ltz,Luxembourgish
JEY,eng,English
JEY,fra,French
JEY,nrf,Jèrriais
SLB,eng,English
DZA,ara,Arabic
ATG,eng,English
SHN,eng,English
BRA,por,Portuguese
SGS,eng,English
MLI,fra,French
PAK,eng,English
PAK,urd,Urdu
TTO,eng,English
ARM,hye,Armenian
BGD,ben,Bengali
TCA,eng,English
TKM,rus,Russian
TKM,tuk,Turkmen
FRO,dan,Danish
FRO,fao,Faroese
PLW,eng,English
PLW,pau,Palauan
CUB,spa,Spanish
TCD,ara,Arabic
TCD,fra,French
