id_country,timezone
JAM,UTC-05:00
COM,UTC+03:00
ZWE,UTC+02:00
SXM,UTC-04:00
LAO,UTC+07:00
LVA,UTC+02:00
TJK,UTC+05:00
GBR,UTC-08:00
GBR,UTC-05:00
GBR,UTC-04:00
GBR,UTC-03:00
GBR,UTC-02:00
GBR,UTC
GBR,UTC+01:00
GBR,UTC+02:00
GBR,UTC+06:00
NIC,UTC-06:00
SDN,UTC+03:00
GRC,UTC+02:00
LTU,UTC+02:00
RWA,UTC+02:00
SEN,UTC
MCO,UTC+01:00
LSO,UTC+02:00
TUN,UTC+01:00
VUT,UTC+11:00
ECU,UTC-06:00
ECU,UTC-05:00
KWT,UTC+03:00
PHL,UTC+08:00
CHL,UTC-06:00
CHL,UTC-04:00
BHS,UTC-05:00
TZA,UTC+03:00
CRI,UTC-06:00
MAR,UTC
MNE,UTC+01:00
FSM,UTC+10:00
FSM,UTC+11:00
PRT,UTC-01:00
PRT,UTC
ARE,UTC+04:00
LBY,UTC+01:00
LUX,UTC+01:00
JEY,UTC+01:00
SLB,UTC+11:00
DZA,UTC+01:00
ATG,UTC-04:00
SHN,UTC+00:00
BRA,UTC-05:00
BRA,UTC-04:00
BRA,UTC-03:00
BRA,UTC-02:00
SGS,UTC-02:00
MLI,UTC
PAK,UTC+05:00
TTO,UTC-04:00
ARM,UTC+04:00
BGD,UTC+06:00
TCA,UTC-04:00
TKM,UTC+05:00
FRO,UTC+00:00
PLW,UTC+09:00
CUB,UTC-05:00
TCD,UTC+01:00
BIH,UTC+01:00
BWA,UTC+02:00
EST,UTC+02:00
IOT,UTC+06:00
ATF,UTC+05:00
GRL,UTC-04:00
GRL,UTC-03:00
GRL,UTC-01:00
GRL,UTC+00:00
CXR,UTC+07:00
PCN,UTC-08:00
ESH,UTC+00:00
MSR,UTC-04:00
BHR,UTC+03:00
DOM,UTC-04:00
USA,UTC-12:00
USA,UTC-11:00
USA,UTC-10:00
USA,UTC-09:00
USA,UTC-08:00
USA,UTC-07:00
USA,UTC-06:00
USA,UTC-05:00
USA,UTC-04:00
USA,UTC+10:00
USA,UTC+12:00
COK,UTC-10:00
COL,UTC-05:00
GIN,UTC
IRL,UTC
MDV,UTC+05:00
PAN,UTC-05:00
MOZ,UTC+02:00
OMN,UTC+04:00
CZE,UTC+01:00
HMD,UTC+05:00
VCT,UTC-04:00
HTI,UTC-05:00
NGA,UTC+01:00
VGB,UTC-04:00
NAM,UTC+01:00
DMA,UTC-04:00
CAN,UTC-08:00
CAN,UTC-07:00
CAN,UTC-06:00
CAN,UTC-05:00
CAN,UTC-04:00
CAN,UTC-03:30
GGY,UTC+00:00
NER,UTC+01:00
IDN,UTC+07:00
IDN,UTC+08:00
IDN,UTC+09:00
YEM,UTC+03:00
PSE,UTC+02:00
GAB,UTC+01:00
ERI,UTC+03:00
CYP,UTC+02:00
HKG,UTC+08:00
BVT,UTC+01:00
SVK,UTC+01:00
SVN,UTC+01:00
NIU,UTC-11:00
KIR,UTC+12:00
KIR,UTC+13:00
KIR,UTC+14:00
DEU,UTC+01:00
UNK,UTC+01:00
CIV,UTC
LKA,UTC+05:30
MAF,UTC-04:00
BEL,UTC+01:00
ISR,UTC+02:00
ALA,UTC+02:00
MNP,UTC+10:00
DNK,UTC-04:00
DNK,UTC-03:00
DNK,UTC-01:00
DNK,UTC
DNK,UTC+01:00
BMU,UTC-04:00
GIB,UTC+01:00
SYR,UTC+02:00
TLS,UTC+09:00
SMR,UTC+01:00
GMB,UTC+00:00
PER,UTC-05:00
GNB,UTC
SLE,UTC
TUR,UTC+03:00
BOL,UTC-04:00
NOR,UTC+01:00
COG,UTC+01:00
SWZ,UTC+02:00
PRY,UTC-04:00
UKR,UTC+02:00
MYS,UTC+08:00
TON,UTC+13:00
BEN,UTC+01:00
SWE,UTC+01:00
TUV,UTC+12:00
MNG,UTC+07:00
MNG,UTC+08:00
ZAF,UTC+02:00
CUW,UTC-04:00
AUS,UTC+05:00
AUS,UTC+06:30
AUS,UTC+07:00
AUS,UTC+08:00
AUS,UTC+09:30
AUS,UTC+10:00
AUS,UTC+10:30
AUS,UTC+11:30
KNA,UTC-04:00
GHA,UTC
IRQ,UTC+03:00
VNM,UTC+07:00
GUY,UTC-04:00
AZE,UTC+04:00
CMR,UTC+01:00
EGY,UTC+02:00
ISL,UTC
VEN,UTC-04:00
BRB,UTC-04:00
FLK,UTC-04:00
MWI,UTC+02:00
KGZ,UTC+06:00
TWN,UTC+08:00
